Store,Date,Sales,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval
1,31/7/20,6678.4,1,1,d,1,a,a,570,11,2012,1,13,2015,"Jan,Apr,Jul,Oct"
1,30/7/20,6131.7,1,1,d,1,a,a,570,11,2012,1,13,2015,"Jan,Apr,Jul,Oct"
1,29/7/20,7050.2,1,1,d,1,a,a,570,11,2012,1,13,2015,"Jan,Apr,Jul,Oct"
1,28/7/20,6246.1,1,1,d,1,a,a,570,11,2012,1,13,2015,"Jan,Apr,Jul,Oct"
1,27/7/20,7297.7,1,1,d,1,a,a,570,11,2012,1,13,2015,"Jan,Apr,Jul,Oct"
1,26/7/20,8,0,0,d,0,a,a,570,11,2012,1,13,2015,"Jan,Apr,Jul,Oct"
1,25/7/20,2771.2,1,0,d,0,a,a,570,11,2012,1,13,2015,"Jan,Apr,Jul,Oct"
1,24/7/20,4247.4,1,0,d,1,a,a,570,11,2012,1,13,2015,"Jan,Apr,Jul,Oct"
1,23/7/20,4526.8,1,0,d,1,a,a,570,11,2012,1,13,2015,"Jan,Apr,Jul,Oct"
1,22/7/20,5610.3,1,0,d,1,a,a,570,11,2012,1,13,2015,"Jan,Apr,Jul,Oct"
1,21/7/20,4227.6,1,0,d,1,a,a,570,11,2012,1,13,2015,"Jan,Apr,Jul,Oct"
1,20/7/20,4886.5,1,0,d,1,a,a,570,11,2012,1,13,2015,"Jan,Apr,Jul,Oct"
1,19/7/20,8,0,0,d,0,a,a,570,11,2012,1,13,2015,"Jan,Apr,Jul,Oct"
1,18/7/20,3766.7,1,0,d,0,a,a,570,11,2012,1,13,2015,"Jan,Apr,Jul,Oct"
1,17/7/20,4977.8,1,1,d,1,a,a,570,11,2012,1,13,2015,"Jan,Apr,Jul,Oct"
1,16/7/20,5576.2,1,1,d,1,a,a,570,11,2012,1,13,2015,"Jan,Apr,Jul,Oct"
1,15/7/20,7054.6,1,1,d,1,a,a,570,11,2012,1,13,2015,"Jan,Apr,Jul,Oct"
1,14/7/20,6742.2,1,1,d,1,a,a,570,11,2012,1,13,2015,"Jan,Apr,Jul,Oct"
1,13/7/20,7569.4,1,1,d,1,a,a,570,11,2012,1,13,2015,"Jan,Apr,Jul,Oct"
1,12/7/20,8,0,0,d,0,a,a,570,11,2012,1,13,2015,"Jan,Apr,Jul,Oct"
